#,NAME,REGION,PROVINCE,YEAR,TYPE,DURATION,WIND,INTENSITY,SIGNAL,POP,DEN,AI,PR,DR,SR,FLR,HP,HS,HMA,HMB,HMC,HMD,CASUALTIES,DAMAGED HOUSES,DAMAGED PROPERTIES
397,Frank,IX,Zamboanga del Norte,2008,4,6,160,988,1,923852,127,137529,67,70,105,80,75,698,52374,42244,91015,3826,1,0,0
396,Frank,IX,Zamboanga del Sur,2008,4,6,160,988,1,1714336,291,137529,32,72,105,80,75,698,134825,102518,99318,3932,1,0,0
544,Jolina,IV-B,Occidental Mindoro,2009,2,4,75,991.5,1,442386,76,141000,36,73,108,84,65,725,12945,46157,32621,3574,1,0,0
545,Jolina,IV-B,Palawan,2009,2,4,75,991.5,0,959221,56,141000,31,79,108,84,65,725,40558,59570,116393,4742,1,0,0
720,Bebeng,III,Bulacan,2011,2,6,85,997,1,2994520,1076,245658,7,54,100,92,199,1948,53814,515412,13414,7696,1,0,0
721,Bebeng,III,Zambales,2011,2,6,85,997,0,768806,202,245658,16,60,101,92,199,1948,16613,126635,14048,2214,1,0,0
839,Mina,VI,Iloilo,2011,4,9,195,975.3,1,2260220,445,186509,26,61,102,84,87,1766,167039,196025,64858,4349,1,0,0
840,Mina,VI,Negros Occidental,2011,4,9,195,975.3,1,2937504,367,186509,32,64,103,84,87,1766,188669,261836,123278,9060,1,0,0
1008,Helen,II,Cagayan,2012,2,4,85,991,2,1154019,123,195000,20,57,101,95,92,1131,51232,145115,28657,3996,1,0,0
1009,Helen,II,Isabela,2012,2,4,85,991,2,1530374,117,195000,24,56,101,95,92,1131,59637,219109,29925,2443,1,0,0
1022,Karen,VIII,Samar,2012,4,4,185,943,0,751867,124,166000,50,75,101,74,77,819,28931,39085,64390,5419,1,0,0
1023,Karen,VIII,Southern Leyte,2012,4,4,185,943,0,408033,227,166000,43,64,101,74,77,819,24903,43716,13928,1840,1,0,0
1169,Labuyo,II,Batanes,2013,4,3,175,914,2,16986,84,187942,23,63,97,97,71,1135,192,3457,187,282,1,0,0
1166,Labuyo,II,Isabela,2013,4,3,175,914,2,1551155,118,187942,27,55,99,97,71,1135,59630,222491,29610,2448,1,0,0
1167,Labuyo,II,Nueva Vizcaya,2013,4,3,175,914,2,439651,91,187942,17,58,99,97,71,1135,26701,55793,7750,443,1,0,0
1168,Labuyo,II,Quirino,2013,4,3,175,914,2,184011,79,187942,18,58,99,97,71,1135,13082,20284,3565,296,1,0,0
1337,Glenda,I,Ilocos Norte,2014,4,5,150,964.2,3,587981,172,197135,12,55,99,93,83,3267,11538,100643,5356,1294,1,0,0
1339,Glenda,I,Ilocos Sur,2014,4,5,150,964.2,3,683337,263,197135,18,56,99,93,83,3267,20617,109119,5148,784,1,0,0
1340,Glenda,I,La Union,2014,4,5,150,964.2,3,777493,519,197135,22,56,100,93,83,3267,32940,117309,3475,544,1,0,0
1338,Glenda,I,Pangasinan,2014,4,5,150,964.2,3,2920475,536,197135,21,61,100,93,83,3267,108451,400680,49282,9296,1,0,0
517,Feria,VI,Aklan,2009,2,4,75,993.6,1,521834,296,159000,45,64,103,83,86,1732,6883,45616,46312,11762,1,0,0
515,Feria,VI,Antique,2009,2,4,75,993.6,1,535577,196,159000,44,73,105,83,86,1732,30111,45141,33311,3171,1,0,0
519,Feria,VI,Capiz,2009,2,4,75,993.6,1,713627,275,159000,29,66,104,83,86,1732,54736,63091,32722,2047,1,0,0
518,Feria,VI,Iloilo,2009,2,4,75,993.6,1,2189591,431,159000,27,61,103,83,86,1732,169734,210941,65147,4141,1,0,0
516,Feria,VI,Negros Occidental,2009,2,4,75,993.6,1,2895105,362,159000,30,64,105,83,86,1732,190616,282616,122567,8905,1,0,0
