#,NAME,REGION,PROVINCE,YEAR,TYPE,DURATION,WIND,INTENSITY,SIGNAL,POP,DEN,AI,PR,DR,SR,FLR,HP,HS,HMA,HMB,HMC,HMD,CASUALTIES,DAMAGED HOUSES,DAMAGED PROPERTIES
586,Nando,IV-A,Cavite,2009,2,2,65,995.6,0,3010661.28,1972.548471,249000,3.2,54.30112971,97,93.79809319,236,2022,67688.36554,574033.058,15593.25785,3702.059974,0,1,0
587,Nando,IV-A,Laguna,2009,2,2,65,995.6,0,2602735.147,1349.805338,249000,8.4,54.30112971,98,93.79809319,236,2022,73274.85392,494717.7232,8290.687328,2637.642715,0,1,0
987,Gener,VII,Bohol,2012,4,5,130,972,3,1278182.234,267.8212421,209000,36.8,67.78397429,100.5567037,87.1595488,105,1764,74531.05517,130180.5259,38918.62378,3226.262225,0,1,0
986,Gener,VII,Cebu,2012,4,5,130,972,3,4347453.984,813.8251561,209000,22.7,63.1923724,100.5567037,87.1595488,105,1764,297843.0973,456837.5903,75296.96969,9662.119168,0,1,0
1428,Mario,V,Camarines Norte,2014,4,5,105,982,2,574999.7985,252.4220668,158205.7562,33.27133764,69.39544137,97.73606422,85.61837609,54,1164,11302.34297,52613.07514,37714.79177,9065.018019,0,1,0
1429,Mario,V,Camarines Sur,2014,4,5,105,982,2,1925785.989,349.3869607,158205.7562,43.64242268,70.78231719,97.54918702,85.61837609,54,1164,54753.84416,169647.9825,104752.7088,16599.3094,0,1,0
517,Feria,VI,Aklan,2009,2,4,75,993.6,1,521833.5734,296.445818,159000,44.7,64.16615355,103,83.03538589,86,1732,6882.522986,45616.27405,46311.75782,11762.32443,0,1,0
515,Feria,VI,Antique,2009,2,4,75,993.6,1,535576.7896,196.1338388,159000,44.3,72.5308628,105,83.03538589,86,1732,30110.50319,45140.71303,33311.47493,3170.72872,0,1,0
519,Feria,VI,Capiz,2009,2,4,75,993.6,1,713627.152,275.038985,159000,29,66.20916197,104,83.03538589,86,1732,54736.01388,63091.41308,32721.93477,2047.296154,0,1,0
518,Feria,VI,Iloilo,2009,2,4,75,993.6,1,2189591.239,431.3632519,159000,26.6,60.6648284,103,83.03538589,86,1732,169734.4824,210941.3759,65147.22096,4141.242371,0,1,0
516,Feria,VI,Negros Occidental,2009,2,4,75,993.6,1,2895105.48,361.6698268,159000,30.4,63.66491533,105,83.03538589,86,1732,190616.1346,282615.862,122567.2141,8905.092684,0,1,0
85,Caloy,NCR,Metro Manila,2006,4,7,160,981,1,11302020.36,18242.59993,310860,4.7,50,96,94.23954198,222,20,360363.8465,1944143.336,60503.94251,42013.58182,0,1,0
167,Paeng,I,Ilocos Sur,2006,4,5,195,981.7,3,627423.8809,241.688706,142358,20.8,63,102,90.21026431,123,978,21093.63466,101011.7182,5132.444316,962.4395079,0,1,0
165,Paeng,I,La Union,2006,4,5,195,981.7,3,711611.3308,474.6353789,142358,26,62,102,90.21026431,123,978,33976.51124,107636.1106,3500.515542,811.0415164,0,1,0
166,Paeng,I,Pangasinan,2006,4,5,195,981.7,3,2614120.387,479.6031965,142358,28.7,68,103,90.21026431,123,978,107521.7194,359752.5894,51612.88812,11848.49263,0,1,0
231,Dodong,I,Ilocos Norte,2007,2,2,75,994,1,547284,160,155630,16.63749568,60,102,90.75349652,118,1016,11958,97074,5049,1271,0,1,0
232,Dodong,I,Ilocos Sur,2007,2,2,75,994,1,633138,244,155630,19.85798058,63,102,90.75349652,118,1016,20737,105050,4547,870,0,1,0
234,Dodong,I,La Union,2007,2,2,75,994,1,720972,481,155630,27.05648896,61,102,90.75349652,118,1016,33830,112688,3171,777,0,1,0
233,Dodong,I,Pangasinan,2007,2,2,75,994,1,2645395,484,155630,26.38494656,68,103,90.75349652,118,1016,107895,374688,49442,11772,0,1,0
284,Ineng,CAR,Benguet,2007,4,7,185,991,1,674459,239,200696,25.69647032,53,96,88.4267081,56,580,16088,199901,1570,1915,0,1,0
286,Ineng,CAR,Ifugao,2007,4,7,185,991,1,180815,69,200696,25.69647032,68,108,88.4267081,56,580,16478,15369,4014,171,0,1,0
285,Ineng,CAR,Kalinga,2007,4,7,185,991,1,182326,56,200696,25.69647032,73,105,88.4267081,56,580,14083,16925,3342,295,0,1,0
469,Tonyo,XII,South Cotabato,2008,1,4,55,1003.3,1,1319236.151,307.7466784,139277,31.63329823,65.63921597,106,78.3,103,957,79322.15482,145400.9075,57619.42932,2456.922038,0,1,0
580,Maring,IV-A,Laguna,2009,1,3,55,999.7,0,2602735.147,1349.805338,249000,8.4,54.30112971,98,93.79809319,236,2022,73274.85392,494717.7232,8290.687328,2637.642715,0,1,0
820,Kabayan,IV-A,Batangas,2011,4,9,175,970,0,2437650.254,782.5396875,271818,18.34429831,57.1769713,100.5967935,94.39713371,240,2153,58261.07004,384080.0609,16896.16251,4728.813998,0,1,0
821,Kabayan,IV-A,Cavite,2011,4,9,175,970,0,3200176.436,2096.716485,271818,3.331981674,52.17469412,97.78712148,94.39713371,240,2153,68301.07802,530998.6801,15901.98165,5052.40675,0,1,0
822,Kabayan,IV-A,Rizal,2011,4,9,175,970,0,2560027.504,2164.653536,271818,6.839946536,54.38646359,100,94.39713371,240,2153,78120.0492,389440.1095,13841.30302,4692.203965,0,1,0
1022,Karen,VIII,Samar,2012,4,4,185,943,0,751867.4876,124.3160976,166000,50,75.26888295,101.3569691,73.5609432,77,819,28931.10377,39084.97701,64390.20973,5419.092912,0,1,0
1023,Karen,VIII,Southern Leyte,2012,4,4,185,943,0,408032.9449,226.5012517,166000,43.3,64.36993004,101.305472,73.5609432,77,819,24902.74845,43715.62112,13927.51805,1840.142826,0,1,0
1047,Ofel,VIII,Biliran,2012,1,4,85,991,2,165631.0458,309.0073801,166000,27.5,72.78508128,100.7229639,73.5609432,77,819,7791.398871,14617.9803,9025.719371,1014.007441,0,1,0
1048,Ofel,VIII,Eastern Samar,2012,1,4,85,991,2,443798.5855,96.11938627,166000,63.7,73.11858725,101.7296225,73.5609432,77,819,20015.10308,30258.3356,33135.32762,1991.232401,0,1,0
1044,Ofel,VIII,Leyte,2012,1,4,85,991,2,1858191.505,284.2505774,166000,39.2,67.95543028,101.0222025,73.5609432,77,819,95707.27089,158178.1518,105137.3829,11503.50413,0,1,0
1045,Ofel,VIII,Samar,2012,1,4,85,991,2,751867.4876,124.3160976,166000,50,75.26888295,101.3569691,73.5609432,77,819,28931.10377,39084.97701,64390.20973,5419.092912,0,1,0
1046,Ofel,VIII,Southern Leyte,2012,1,4,85,991,2,408032.9449,226.5012517,166000,43.3,64.36993004,101.305472,73.5609432,77,819,24902.74845,43715.62112,13927.51805,1840.142826,0,1,0
1154,Fabian,IV-B,Occidental Mindoro,2013,1,2,55,1000,0,473333.1909,80.89658353,159496.7647,36.99273107,70.18470083,98.36560789,86.9,64,782,12911.15893,44701.38,32437.79056,3541.889106,0,1,0
1153,Fabian,IV-B,Palawan,2013,1,2,55,1000,0,1059091.418,62.18700986,159496.7647,28.61067,71.57337752,98.09394452,86.9,64,782,42207.66452,58835.92778,119632.1373,4528.875775,0,1,0
1539,Egay,IV-B,Palawan,2015,3,6,95,987,0,1104585,65,166982.8119,27.71775878,70,92,86.49483253,23,832,41168.91544,58680.03818,118023.9238,4660.344504,0,1,0
1548,Hanna,VI,Guimaras,2015,4,4,195,938,0,174613,285,188399.7134,23.78814281,56,95,84.50383343,62,1859,11398.62107,14796.61773,7190.022608,329.5930922,0,1,0
1546,Hanna,VI,Iloilo,2015,4,4,195,938,0,2384415,470,188399.7134,26.32047573,60,97,84.50383343,62,1859,168842.4591,206345.1739,65081.09479,4213.434584,0,1,0
1547,Hanna,VI,Negros Occidental,2015,4,4,195,938,0,3059136,382,188399.7134,31.71923213,62,95,84.50383343,62,1859,189970.8026,276196.3908,122802.9374,8967.769789,0,1,0
1664,Cardina,II,Cagayan,2016,2,4,105,982,2,1214812.116,129.2618714,190832.1964,21.95589508,59.71636904,101.7141787,95.91439815,80.54545455,1129.75,51455.22494,148930.4446,28438.64581,3996.871758,0,1,0
1665,Cardina,II,Isabela,2016,2,4,105,982,2,598659.1299,121.3654043,170607.7858,40.88499869,69.89667179,102.5693625,91.19435101,46.27272727,745.8285984,25773.54935,23437.65842,56904.80992,3727.522455,0,1,0
1728,Marce,IV-B,Oriental Mindoro,2016,2,6,85,999.5,0,856262.3529,202.0258573,167400.1331,31.23591552,73.19124064,102.3459011,86.56259713,55.81818182,857,24920.53731,89292.78931,42995.83094,5781.929456,0,1,0
1729,Marce,IV-B,Romblon,2016,2,6,85,999.5,0,294584.0382,192.1054082,167400.1331,40.90979095,78.7618308,101.9909528,86.56259713,55.81818182,857,9055.607659,26953.98085,20713.84778,3266.194785,0,1,0
1736,Marce,VIII,Leyte,2016,2,6,85,999.5,1,2004352.127,306.6090056,164224.2099,38.33635456,70.61592238,102.5812324,73.66134037,66.18181818,865,97044.99025,162198.9943,104502.2493,11256.48422,0,1,0
