#,NAME,REGION,PROVINCE,YEAR,TYPE,DURATION,WIND,INTENSITY,SIGNAL, POP,DEN,AI,PR,DR,SR,FLR,HP,HS, HMA, HMB, HMC, HMD,CASULATIES,DAMAGED HOUSES,DAMAGED PROPERTIES
1022,Karen,VIII,Samar,2012,4,4,185,943,0,751867,124,166000,50,75,101,74,77,819,28931,39085,64390,5419,0,0,1
1023,Karen,VIII,Southern Leyte,2012,4,4,185,943,0,408033,227,166000,43,64,101,74,77,819,24903,43716,13928,1840,0,0,1
1213,Nando,V,Sorsogon,2013,2,4,105,982,2,771639,364,156965,40,71,99,87,110,1183,10797,62950,51570,21252,0,0,1
249,Egay,I,Ilocos Norte,2007,4,6,215,994.1,1,547284,160,155630,17,60,102,91,118,1016,11958,97074,5049,1271,0,0,1
248,Egay,I,Ilocos Sur,2007,4,6,215,994.1,1,633138,244,155630,20,63,102,91,118,1016,20737,105050,4547,870,0,0,1
247,Egay,I,La Union,2007,4,6,215,994.1,1,720972,481,155630,27,61,102,91,118,1016,33830,112688,3171,777,0,0,1
250,Egay,I,Pangasinan,2007,4,6,215,994.1,1,2645395,484,155630,26,68,103,91,118,1016,107895,374688,49442,11772,0,0,1
1673,Ferdie,CAR,Mt. Province,2016,4,4,220,995.7,0,154671,65,245538,23,69,103,91,52,662,7358,23033,1118,89,0,0,1
536,Isang,IV-A,Cavite,2009,2,5,95,983.3,0,3010661,1973,249000,3,54,97,94,236,2022,67688,574033,15593,3702,0,0,1
538,Isang,IV-A,Laguna,2009,2,5,95,983.3,0,2602735,1350,249000,8,54,98,94,236,2022,73275,494718,8291,2638,0,0,1
537,Isang,IV-A,Rizal,2009,2,5,95,983.3,0,2421173,2047,249000,9,57,100,94,236,2022,75786,422769,15542,3948,0,0,1
421,Igme,I,Ilocos Norte,2008,4,6,140,984.9,2,554110,162,170138,16,59,102,91,121,992,11658,99577,5197,1276,0,0,1
420,Igme,I,Ilocos Sur,2008,4,6,140,984.9,1,641510,247,170138,19,61,102,91,121,992,20628,107927,4856,804,0,0,1
419,Igme,I,La Union,2008,4,6,140,984.9,1,727884,485,170138,28,62,104,91,121,992,33249,115992,3326,602,0,0,1
837,Mina,III,Bulacan,2011,4,9,195,975.3,1,2994520,1076,245658,7,54,100,92,199,1948,53814,515412,13414,7696,0,0,1
834,Mina,III,Nueva Ecija,2011,4,9,195,975.3,0,1993106,350,245658,27,57,102,92,199,1948,59465,300228,36811,8050,0,0,1
835,Mina,III,Tarlac,2011,4,9,195,975.3,1,1291279,424,245658,17,59,102,92,199,1948,30304,203879,19208,4023,0,0,1
836,Mina,III,Zambales,2011,4,9,195,975.3,1,768806,202,245658,16,60,101,92,199,1948,16613,126635,14048,2214,0,0,1
927,Sendong,V,Camarines Sur,2011,2,4,75,995.8,0,1847692,335,158596,43,73,102,84,109,1145,54600,162426,104064,16214,0,0,1
928,Sendong,V,Masbate,2011,2,4,75,995.8,1,845892,204,158596,53,87,102,84,109,1145,26534,41632,82740,7318,0,0,1
469,Tonyo,XII,South Cotabato,2008,1,4,55,1003.3,1,1319236,308,139277,32,66,106,78,103,957,79322,145401,57619,2457,0,0,1
277,Ineng,III,Zambales,2007,4,7,185,991,1,720355,189,205139,21,64,104,91,201,1811,16461,125706,13276,1883,0,0,1
353,Cosme,VI,Iloilo,2008,2,7,105,993.7,1,2149727,424,148641,25,60,104,83,86,1685,168798,199893,64107,4065,0,0,1
354,Cosme,VI,Negros Occidental,2008,2,7,105,993.7,1,2882408,360,148641,30,63,106,83,86,1685,189969,267643,122803,8607,0,0,1
287,Kabayan,I,La Union,2007,4,5,120,996.8,3,720972,481,155630,27,61,102,91,118,1016,33830,112688,3171,777,0,0,1
283,Ineng,XI,Davao Oriental,2007,4,7,185,991,1,486104,86,144348,52,75,108,81,108,656,28177,21528,46846,2235,0,0,1
1158,Gorio,V,Albay,2013,2,4,85,991,2,1281643,498,156965,39,67,100,87,110,1183,27636,140687,56108,18044,0,0,1
1159,Gorio,V,Camarines Sur,2013,2,4,85,991,2,1899395,345,156965,44,72,99,87,110,1183,54974,168140,104306,16363,0,0,1
1160,Gorio,V,Sorsogon,2013,2,4,85,991,2,771639,364,156965,40,71,99,87,110,1183,10797,62950,51570,21252,0,0,1
1737,Marce,XIII,Agusan del Sur,2016,2,6,85,999.5,0,709851,71,170608,51,74,104,91,46,746,41662,23313,58396,1689,0,0,1
1738,Marce,XIII,Dinagat Islands,2016,2,6,85,999.5,1,127222,156,170608,46,65,101,91,46,746,8134,7775,8023,577,0,0,1
